CODIGO_ACTIVIDAD,ANIO,H000B,H000C,H011B,H011C,H011D,H012B,H012C,H012D,H300B,H300C,H300D,H010B,H010C,H000D,I000B,I000C,I000D,I100B,I100C,I100D,I200B,I200C,I200D,H000E,H000F,I000E,I000F,J000A,J000B,J000C,J010A,J200A,J300A,J400A,J500A,J600A,K411A_K421A,K950A,K100A,K200A,K412A,K530A_K531A,K590A,K610A,K620A,K630A,K810A,K820A,K833A,K500A,K050A_K800A,K060A,K964A,K931A,K999A,M210A,M220A,M230A,M530A_M531A,M590A,M050A_M633A,M999A,M200A,M500A,M100A,M931A,Q100A,Q200A,Q300A,Q400A,Q900A,ESTATUS
4885,2019,100190,48991,,,,,,,334,2,0,99856,48989,0,31104,7586,0,29789,6457,0,1315,1129,0,,,,,44860026,,,,,,,,,3373120,,69286,217155600,918921,,,2815867,141542,,544170,1302822,,6524692,,,,196684,39405418,,,,,,,7196596,393476718,357896,19846,185,143376458,51444104,12771975,52468561,22029443,Cifras definitivas
4921,2019,13301,3023,11863,2230,33094,1434,790,5321,4,3,15,,,38430,9945,2135,28275,9856,2085,27951,89,50,324,,,,,4001349,,,2357478,545674,573870,341497,182830,50443,1106747,630844,,442790,59479,868514,503651,1576108,10652,41398,183208,165099,456056,,20546,345640,66,,14695837,0,539402,31951546,1298,277,34,18860,,,,,2805990,399362,85500,624819,689676,Cifras definitivas
4931,2019,13704,4256,,,,,,,0,19,0,13704,4237,0,6972,1796,0,6392,1737,0,580,60,0,,,,,3541344,,,,,,,,,123795,,137643,4375168,292476,,,1290342,154281,,12537,97598,,1598376,,,,38405,4926188,,,,,,,613840,31678487,205110,326123,0,15373229,30905744,2909656,2374380,1675162,Cifras definitivas
4811,2020,10632,7468,8028,5923,35379,2604,1545,11580,0,0,0,,,46959,4739,3605,18635,4734,3604,18625,5,1,10,,,,,7320248,,,3833731,1841615,656464,974838,13600,41186,37923892,7159663,,2177639,14779,13413696,574163,5101590,1281,422044,169649,4073527,5328404,,35089,173930,0,,15510435,90792463,7448213,21644,1016978,0,0,17011745,,,,,13243028,468204,885006,91230,1225494,Cifras definitivas
4812,2020,1319,280,1014,227,2816,266,23,801,39,30,176,,,3793,666,267,1808,639,267,1763,27,0,45,,,,,1292635,,,840037,197705,100725,132011,22157,0,1363316,1151746,,77075,3628,99506,102339,154301,242,8300,14632,20924,90626,,12017,59323,0,,1031802,6993540,1813398,117148,175549,5834,66,237323,,,,,16354730,461697,725726,109455,167947,Cifras definitivas
4821,2020,8235,2330,7748,28,22265,487,2302,8095,0,0,0,,,30360,3967,201,9950,3962,201,9936,5,0,14,,,,,6708424,,,3151940,1436525,1105049,179049,835861,27684,9410146,2935951,,1139534,114507,5467161,444706,5682653,600,384642,33338,197934,429535,,4959,533117,0,,4583676,98270,64524585,0,30333,0,137462,1688672,,,,,15795501,17634228,1350040,1537244,41516231,Cifras definitivas
4841,2020,128190,16946,101853,1781,265707,24700,14895,97729,1637,270,4246,,,367682,10751,3536,35346,9919,3027,32205,833,508,3141,,,,,27035446,,,15462814,6054486,4237008,473060,808079,84504,46063609,12170086,,941692,539036,5080537,2275051,2287606,153184,565671,121844,744682,10782209,,373579,4213061,36742,,10256138,0,189629614,12583,2843124,318133,2610051,2281797,,,,,126154799,12068793,3843028,12506421,2091780,Cifras definitivas
4842,2020,73199,11139,59358,1488,143704,12143,9442,51317,1698,209,4285,,,199306,10448,1424,19204,9940,1232,18455,507,192,750,,,,,17571771,,,10698980,3847852,2591072,150500,283367,314507,34779288,7962566,,1669223,124258,11596519,1454311,1758754,104181,646565,70421,416949,7338727,,180133,2913727,4529,,9127153,0,123022922,0,161978,3328,300060,1591702,,,,,108908519,5419229,20026400,2285886,2401900,Cifras definitivas
4851,2020,88109,9673,73555,3389,215574,10594,5978,46625,3960,307,8321,,,270521,12056,514,34231,1250,329,4113,10807,185,30118,,,,,12259590,,,8017504,1656487,1928460,636204,20935,554869,20111615,3952238,,238323,390262,203416,388413,382190,611352,256337,60111,284359,417279,,152955,587186,5585,,4171046,55365272,0,0,371852,65096,5721,2353730,,,,,105924256,4941164,478416,1768923,861634,Cifras definitivas
4852,2020,33244,4813,29520,3089,89324,3685,1713,14239,39,11,122,,,103685,3265,1611,14736,2968,1584,13851,297,27,885,,,,,7299126,,,4698984,926381,1402424,156395,114942,168436,7947244,2314805,,302188,124628,142401,342423,846805,45817,208091,38074,146234,1218683,,38027,201800,156,,3922981,26906894,0,649289,218477,19483,319,1367807,,,,,46536637,3675817,537888,991215,903881,Cifras definitivas
4854,2020,18065,2831,17448,2217,51930,443,576,2929,174,38,524,,,55383,737,30,2235,713,29,2152,25,1,83,,,,,2978867,,,2148694,124136,679220,24471,2347,435,3976148,901421,,44210,39254,691948,73089,2307,772,131321,32577,57079,44212,,75564,139477,2024,,837975,13980308,0,0,163343,640,2489,196558,,,,,19639610,1008903,266017,886313,164805,Cifras definitivas
4881,2020,28881,6792,,,,,,,66,57,0,28815,6734,0,2932,1089,0,2637,957,0,295,132,0,,,,,9843389,,,,,,,,,624346,,2192,4467837,625824,,,216499,7619,,41718,162871,,1211480,,,,184483,5863950,,,,,,,1737044,52403464,4216738,9211,1463,10933464,12623969,1064262,2139987,20259689,Cifras definitivas
4883,2020,10096,1741,,,,,,,0,0,0,10096,1741,0,249,141,0,241,140,0,8,1,0,,,,,2946429,,,,,,,,,488068,,29162,1874278,127343,,,75960,28060,,18546,37845,,713349,,,,96135,2739004,,,,,,,863930,17127626,545605,17771,0,15214787,15171040,349547,497469,1349463,Cifras definitivas
4884,2020,6443,5042,,,,,,,0,0,0,6443,5042,0,4066,1103,0,3964,1089,0,102,14,0,,,,,2748500,,,,,,,,,204768,,236106,3301873,130899,,,367757,13439,,8499,21035,,27845,,,,3590,1798418,,,,,,,565515,20775697,33597,258971,0,17294445,1000860,129371,44120,83790,Cifras definitivas
4885,2020,98046,48890,,,,,,,334,2,0,97712,48889,0,29650,7098,0,28366,6031,0,1284,1068,0,,,,,44664074,,,,,,,,,3347941,,71165,217741555,935604,,,2859277,120139,,591406,1366207,,6735489,,,,204655,41508249,,,,,,,7286154,403768593,350963,20884,185,146977218,53751032,13885986,55572733,22181751,Cifras definitivas
4921,2020,15700,3344,14258,2474,39585,1438,867,5226,4,3,17,,,44828,9028,1660,23605,8939,1610,23281,89,50,324,,,,,5116605,,,2914619,605923,727087,531639,337337,130490,1113139,654859,,259259,62709,915095,343310,1335778,10917,37743,142523,141950,187408,,22546,467947,57,,9712299,0,538105,35451756,1357,325,40,17060,,,,,3207597,344102,67753,633996,704394,Cifras definitivas
